filename,id,date,host,short_title,title,date_short
doc_441792.txt,1,2017-07-05,www.express.co.uk,canada european unio,canada european union trade deal ceta justin trudeau ireland visit leo varadkar,2017-07
doc_230111.txt,2,2017-08-01,www.theguardian.com,corbyn betraying you,corbyn betraying young people brexit colossal nonsense middle aged remainers,2017-08
doc_543998.txt,3,2017-04-14,www.express.co.uk,Ukip news Douglas Ca,Ukip news Douglas Carswell fury party disband go home Brexit,2017-04
doc_648868.txt,4,2017-03-07,www.express.co.uk,Ambulance Downing St,Ambulance Downing Street Theresa May Prime Minister,2017-03
doc_527334.txt,5,2017-03-09,www.express.co.uk.,Lord Heseltine outra,Lord Heseltine outrage promise continue Brexit news war House of Lords Theresa May,2017-03
doc_195959.txt,6,2017-03-06,uk.weather.yahoo.com,india trolling pakis,india trolling pakistan giant flag 130609470.html,2017-03
doc_52148.txt,7,2017-04-06,www.washingtonpost.com,,,2017-04
doc_330980.txt,8,2017-04-23,sluggerotoole.com,,,2017-04
doc_312094.txt,9,2017-03-15,www.msn.com:443,ar AAonfO1,ar AAonfO1,2017-03
doc_614006.txt,10,2017-06-11,eaglerising.com,,,2017-06
doc_153729.txt,11,2017-03-11,nationalinterest.org,marine le pens perfe,marine le pens perfect storm 19741,2017-03
doc_297822.txt,12,2017-02-25,www.msn.com:80,ar AAnjUKp,ar AAnjUKp,2017-02
doc_519510.txt,13,2017-04-24,garydemar.com,?p=28492,?p=28492,2017-04
doc_462703.txt,14,2017-03-08,uk.weather.yahoo.com,lord heseltine sacke,lord heseltine sacked theresa may 082600083.html,2017-03
doc_177529.txt,15,2017-03-30,www.express.co.uk.,Brexit Nigel Farage ,Brexit Nigel Farage slams Lord Heseltine EU Brussels UK,2017-03
doc_653259.txt,16,2017-03-07,www.express.co.uk,Mervyn King warns Ho,Mervyn King warns House of Lords NOT interfere with Brexit,2017-03
doc_666726.txt,17,2017-03-10,independent.co.uk,brexit immigration i,brexit immigration irene clennell amber rudd callous government a7601596.html,2017-03
doc_180673.txt,18,2017-03-30,uk.weather.yahoo.com,brexit leading mep s,brexit leading mep says eu 073500149.html,2017-03
doc_219838.txt,19,2017-03-29,www.independent.co.uk,nigel farage i will ,nigel farage i will emigrate if brexit is a disaster a7653786.html,2017-03
doc_646629.txt,20,2017-03-07,uk.weather.yahoo.com,uk cars may never me,uk cars may never meet made britain threshold 134405866  finance.html,2017-03
doc_67893.txt,21,2017-03-18,www.theguardian.com,maybot stuck on repe,maybot stuck on repeat as sturgeon lets rip over referendum,2017-03
doc_599371.txt,22,2017-03-04,uk.weather.yahoo.com,scotland emerge stro,scotland emerge stronger brexit says 174223912.html,2017-03
doc_816384.txt,23,2017-02-21,www.express.co.uk,Labour s grubby by e,Labour s grubby by election tactics debase politics ukip paul nuttall leo mckinstry,2017-02
doc_376143.txt,24,2017-05-18,,Under my leadership ,Under my leadership we can build a stronger Britain where everyone has the economic security they needPremium Promo,2017-05
doc_2029.txt,25,2017-06-04,dailymail.co.uk,12 000 year old crat,12 000 year old craters formed methane blow outs found.html,2017-06
doc_301803.txt,26,2017-02-25,thisismoney.co.uk,Jurgen Klopp compare,Jurgen Klopp compares Claudio Ranieri sacking Brexit.html,2017-02
doc_179764.txt,27,2017-03-30,uk.weather.yahoo.com,firm unveils plan fo,firm unveils plan for skyscraper which hangs from an orbiting asteroid 114309663.html,2017-03
doc_134778.txt,28,2017-04-07,sg.style.yahoo.com,donald trump shares ,donald trump shares unfortunate photo op rogue ones darth vader 135935836.html,2017-04
doc_220558.txt,29,2017-03-29,www.express.co.uk,Jeremy Corbyn Theres,Jeremy Corbyn Theresa May Brexit YouGov poll Article 50 Len McCluskey,2017-03
doc_242149.txt,30,2017-08-03,www.irishcentral.com,www.irishcentral.com,www.irishcentral.com,2017-08
doc_463304.txt,31,2017-03-08,www.sfgate.com,Buyer of GM s Europe,Buyer of GM s European companies says he might 10984584.php,2017-03
doc_812915.txt,32,2017-02-21,tomwoods.com,,,2017-02
doc_216739.txt,33,2017-03-29,www.express.co.uk,brexit mean meaning ,brexit mean meaning article 50 theresa may economy pound immigration,2017-03
doc_519829.txt,34,2017-04-24,www.express.co.uk.,Theresa May General ,Theresa May General Election 2017 Gibraltar Denis MacShane Spain Fabian Picardo,2017-04
doc_707901.txt,35,2017-03-13,uk.weather.yahoo.com,brexit heads 35 oxfo,brexit heads 35 oxford colleges 075500757.html,2017-03
doc_748827.txt,36,2017-04-05,www.express.co.uk.,eu brussels may have,eu brussels may have to pay uk 14billion new brexit plans considered government cabinet,2017-04
doc_405900.txt,37,2017-04-17,www.express.co.uk,brexit news claims p,brexit news claims prime minister theresa may quit politics european union,2017-04
doc_103923.txt,38,2017-02-23,uk.weather.yahoo.com,british bill rights ,british bill rights plan shelved 161500560.html,2017-02
doc_517920.txt,39,2017-04-24,www.express.co.uk,French election EU e,French election EU elite breaks protocol backs Macron Le Pen,2017-04
doc_691201.txt,40,2017-03-02,www.independent.co.uk,brexit latest eu cit,brexit latest eu citizens rights theresa may amber rudd house of lords a7604566.html,2017-03
doc_734577.txt,41,2017-05-05,, which then prompted, which then prompted Donald Tusk to tell her to calm down and control her emotions.The war of words escalated this morning,2017-05
